area_type,availability,location,bath,balcony,price,total_sqft_int,bhk
0,0,96,2.0,1.0,62.0,1100.0,2
0,2,135,2.0,3.0,43.0,1140.0,2
0,0,8,2.0,1.0,57.0,1220.0,2
2,0,628,7.0,0.0,85.0,1350.0,8
0,0,3,2.0,1.0,36.68,1005.0,2
2,0,1288,3.0,2.0,100.0,500.0,3
0,2,22,2.0,1.0,80.58,1358.0,2
0,0,54,3.0,1.0,101.0,1569.0,3
0,2,13,2.0,1.0,70.0,1240.0,2
0,0,11,3.0,2.0,140.0,2089.0,3
0,0,114,2.0,1.0,48.23,1206.0,2
0,0,90,2.0,3.0,40.0,1150.0,2
1,0,328,3.0,3.0,205.0,2511.0,3
1,0,133,1.0,0.0,22.0,460.0,2
1,0,204,6.0,3.0,250.0,4400.0,6
0,0,1033,2.0,2.0,105.0,1660.0,3
0,2,5,2.0,2.0,78.0,1326.0,2
0,0,154,2.0,2.0,60.8,1325.0,3
0,0,132,5.0,2.0,102.0,1499.0,3
1,0,54,7.0,2.0,210.0,3000.0,6
0,0,3,3.0,2.0,88.0,1665.0,3
0,2,165,2.0,2.0,37.0,708.0,2
0,0,25,2.0,2.0,58.06,1060.0,2
2,0,15,6.0,3.0,160.0,710.0,6
1,0,144,2.0,2.0,70.0,1000.0,2
0,2,2,2.0,1.0,28.88,1000.0,2
0,0,452,2.0,2.0,70.0,1450.0,3
2,0,204,4.0,2.0,155.0,1200.0,4
0,2,4,2.0,3.0,80.0,1296.0,2
0,0,134,3.0,2.0,90.0,1540.0,3
2,0,28,4.0,1.0,245.0,2894.0,4
0,0,158,2.0,1.0,48.0,1330.0,3
1,0,347,2.0,1.0,65.0,1200.0,2
1,0,503,3.0,1.0,90.0,1200.0,3
0,0,21,3.0,3.0,138.0,2502.0,3
1,0,16,1.0,1.0,17.0,650.0,2
2,0,35,2.0,1.0,150.0,2400.0,3
0,0,340,2.0,2.0,43.0,1007.0,2
0,0,346,2.0,2.0,50.0,1200.0,2
0,0,261,2.0,2.0,49.9,966.0,2
1,0,38,2.0,1.0,98.0,1630.0,3
1,0,15,3.0,2.0,229.0,1640.0,3
1,0,286,2.0,2.0,55.68,782.0,2
0,2,76,2.0,2.0,66.78,1260.0,2
0,0,669,3.0,3.0,120.0,1800.0,3
0,0,330,2.0,2.0,75.0,1413.0,3
0,0,0,2.0,1.0,51.91,1116.0,2
0,0,2,2.0,1.0,45.9,1530.0,3
1,0,29,4.0,1.0,225.0,3700.0,4
1,0,1,3.0,2.0,140.0,2497.0,3
0,0,28,2.0,3.0,64.0,1540.0,3
0,2,4,3.0,1.0,74.75,1436.0,3
0,2,42,2.0,2.0,75.0,1100.0,2
2,0,11,3.0,3.0,23.0,276.0,2
0,0,4,3.0,2.0,120.0,1427.0,3
0,0,39,3.0,1.0,200.0,2061.0,3
0,2,7,4.0,0.0,477.0,5611.5,4
1,0,205,4.0,2.0,150.0,2650.0,4
0,2,76,2.0,2.0,68.52,1282.0,3
1,0,69,2.0,1.0,34.0,1050.0,2
1,0,234,3.0,2.0,65.0,1600.0,3
0,2,289,2.0,1.0,54.0,945.0,2
0,0,27,2.0,1.0,78.0,1500.0,2
2,0,218,7.0,0.0,115.0,950.0,7
1,0,261,3.0,3.0,110.0,1870.0,3
2,0,23,3.0,1.0,75.0,1600.0,3
0,0,2,1.0,1.0,16.5,880.0,2
2,0,874,4.0,0.0,210.0,1200.0,4
0,0,80,3.0,2.0,83.0,1535.0,3
1,0,3,2.0,1.0,57.0,950.0,2
0,2,76,2.0,1.0,65.0,1360.0,2
0,2,43,2.0,0.0,54.005,1073.5,2
0,2,112,3.0,1.0,50.4,1280.0,3
0,2,253,2.0,2.0,85.05,1260.0,3
1,0,11,8.0,1.5843757375501535,250.0,5000.0,8
0,2,5,5.0,1.0,213.0,3050.0,5
0,0,25,3.0,1.0,105.0,1563.05,3
0,0,204,2.0,1.0,60.0,1000.0,2
0,2,108,2.0,1.0,43.76,1167.0,2
0,0,209,7.0,2.0,225.0,4000.0,7
0,0,35,3.0,1.5843757375501535,110.0,1828.0,3
0,0,75,2.0,1.0,35.0,890.0,2
0,0,287,3.0,3.0,46.74,1612.0,3
2,0,541,5.0,1.5843757375501535,185.0,1034.0,6
0,2,57,4.0,2.0,91.31,1710.0,3
0,0,153,2.0,1.0,58.0,957.0,2
0,2,193,2.0,3.0,44.0,1250.0,3
0,0,547,4.0,1.5843757375501535,235.0,2795.0,3
0,0,51,2.0,2.0,50.0,1125.0,2
0,2,14,2.0,1.0,30.6,1020.0,2
0,0,90,2.0,2.0,50.0,1200.0,2
0,0,4,3.0,3.0,135.0,1735.0,3
0,0,4,3.0,1.0,145.0,2050.0,3
2,0,195,4.0,0.0,760.0,3750.0,4
1,0,680,2.0,3.0,48.0,1350.0,3
0,2,33,2.0,1.0,32.0,1063.0,2
0,0,325,3.0,1.0,150.0,1904.0,3
1,0,0,4.0,2.0,420.0,4200.0,4
0,0,411,3.0,1.0,175.0,2000.0,3
0,2,23,2.0,0.0,43.49,1242.5,2
0,0,342,2.0,2.0,75.0,1425.0,3
0,0,2,2.0,1.0,64.5,1500.0,3
1,0,2,2.0,1.0,60.0,1060.0,2
1,0,695,2.0,2.0,70.0,1470.0,3
0,0,574,6.0,0.0,99.0,1300.0,6
0,0,71,1.0,1.0,11.0,450.0,1
0,2,2,2.0,1.0,64.5,1152.0,2
0,0,2,2.0,1.0,56.0,1350.0,3
0,0,65,3.0,3.0,65.0,1550.0,3
2,0,1133,3.0,2.0,100.0,1500.0,3
2,0,99,3.0,2.0,85.0,600.0,5
2,0,159,1.0,0.0,14.0,400.0,1
0,0,42,1.0,2.0,67.0,705.0,1
1,0,2,1.0,1.0,36.0,770.0,2
0,0,51,2.0,3.0,51.0,1242.0,2
0,0,88,3.0,2.0,155.0,1700.0,3
0,0,4,3.0,2.0,145.0,2144.0,3
0,2,72,3.0,2.0,110.0,1704.0,3
0,0,2,2.0,1.0,52.0,1070.0,2
2,0,311,3.0,2.0,300.0,1846.0,3
0,0,408,2.0,2.0,55.7,1340.0,2
1,0,2,2.0,1.0,46.0,1025.0,2
0,0,19,2.0,0.0,56.8,1277.5,2
0,0,8,2.0,2.0,52.0,1200.0,2
1,2,3,4.0,1.0,110.0,2250.0,4
0,0,232,2.0,3.0,80.0,1550.0,3
2,0,17,5.0,1.5843757375501535,325.0,1200.0,4
2,0,254,7.0,1.0,250.0,1800.0,7
0,0,8,2.0,2.0,60.0,1200.0,2
0,0,5,2.0,2.0,98.0,1327.0,2
0,0,35,2.0,2.0,58.0,1186.0,2
1,0,274,3.0,1.0,115.0,1783.0,3
0,0,46,3.0,2.0,56.0,1400.0,3
0,0,214,2.0,1.0,48.0,980.0,2
0,0,132,2.0,2.0,82.0,1285.0,2
0,0,563,2.0,1.0,70.0,912.0,3
1,0,0,2.0,2.0,47.6,1225.0,2
0,0,0,2.0,1.0,53.0,1075.0,2
1,0,69,2.0,2.0,54.0,1260.0,3
0,0,5,2.0,2.0,48.7,1282.0,3
0,0,121,3.0,2.0,88.0,1909.0,3
0,0,49,2.0,1.0,87.0,1359.0,2
1,0,392,2.0,2.0,43.5,1207.0,2
2,0,106,6.0,0.0,190.0,1736.0,4
0,2,184,4.0,1.0,428.0,2850.0,4
0,0,102,3.0,2.0,65.0,1595.0,3
1,2,433,3.0,2.0,89.0,1798.0,3
0,0,20,3.0,2.0,78.29,1475.0,3
0,0,476,3.0,3.0,100.0,1580.0,3
0,0,157,2.0,1.0,65.0,1295.0,2
1,0,118,6.0,0.0,141.0,3600.0,6
0,0,2,1.0,1.0,27.0,589.0,1
0,0,465,3.0,3.0,78.0,1415.0,3
0,2,1,3.0,2.0,98.29,1787.0,3
0,0,1,3.0,2.0,125.0,1787.0,3
0,0,30,2.0,3.0,90.0,1475.0,3
1,0,1018,4.0,1.0,75.5,2000.0,4
0,2,1,2.0,1.0,44.28,984.0,2
0,0,754,4.0,2.0,260.0,2405.0,3
1,0,12,2.0,2.0,72.0,1080.0,2
2,0,346,2.0,1.0,115.0,1500.0,2
0,0,7,3.0,2.0,119.0,1900.0,3
0,2,202,2.0,1.0,22.14,805.0,2
0,0,45,2.0,2.0,56.4,1153.0,2
0,0,275,2.0,2.0,60.0,1148.0,2
0,0,492,2.0,2.0,55.0,1110.0,2
1,0,2,2.0,2.0,42.0,1100.0,2
0,0,151,2.0,2.0,110.0,1290.0,2
0,0,745,2.0,1.0,65.0,1500.0,3
0,2,344,2.0,2.0,39.0,1080.0,2
0,2,72,3.0,1.0,129.0,1933.0,3
1,0,29,5.0,2.0,150.0,3500.0,5
1,0,764,2.0,2.0,60.0,1060.0,2
0,2,16,1.0,1.0,16.45,645.0,1
2,0,1145,8.0,2.0,180.0,2600.0,8
0,2,16,1.0,1.0,16.45,645.0,1
0,0,345,3.0,3.0,84.0,1644.0,3
0,0,1295,2.0,3.0,72.5,1285.0,2
2,0,2,3.0,1.0,90.0,1200.0,3
0,0,2,2.0,1.0,40.0,910.0,2
0,0,35,3.0,1.0,70.0,1577.0,3
2,2,360,3.0,2.0,280.0,4050.0,3
0,0,148,3.0,2.0,185.0,2420.0,3
0,0,16,1.0,1.0,20.0,800.0,2
1,0,371,2.0,2.0,55.0,1060.0,2
0,0,12,2.0,2.0,93.0,1270.0,2
0,2,348,2.0,2.0,22.5,900.0,2
1,0,315,2.0,1.0,69.0,1280.0,2
2,0,70,2.0,0.0,95.0,1200.0,4
1,0,1,2.0,2.0,36.0,1025.0,2
0,2,2,2.0,1.0,63.0,1108.0,2
2,0,504,5.0,1.5843757375501535,170.0,1200.0,5
0,0,582,3.0,2.0,170.0,3045.0,3
2,0,94,3.0,2.0,300.0,2900.0,4
0,0,72,3.0,2.0,75.5,1500.0,3
0,0,9,2.0,2.0,43.9,1295.0,2
0,0,45,2.0,1.0,59.9,1162.0,2
0,0,1,2.0,2.0,49.2,1035.0,2
1,0,71,4.0,0.0,52.8,1600.0,4
0,0,260,3.0,2.0,46.0,1464.0,3
0,2,11,2.0,2.0,61.58,1866.0,3
0,0,662,1.0,1.0,26.0,700.0,2
0,0,90,3.0,2.0,120.0,1804.0,3
0,0,23,2.0,1.0,32.0,913.0,2
0,2,73,3.0,2.0,131.0,1868.0,3
1,0,75,2.0,1.0,45.0,883.0,2
2,0,827,2.0,1.0,110.0,900.0,2
0,0,121,2.0,3.0,73.95,1664.0,3
0,0,54,3.0,2.0,132.0,2026.0,3
0,0,61,2.0,1.0,80.9,1210.0,2
2,0,360,4.0,2.0,250.0,4111.0,4
0,0,69,3.0,3.0,91.45,1762.0,3
0,0,52,3.0,3.0,55.0,1252.0,3
1,0,197,2.0,1.0,34.5,861.0,2
1,0,12,2.0,1.0,100.0,1420.0,3
2,0,354,6.0,0.0,250.0,1450.0,6
1,0,20,3.0,1.0,78.8,1490.0,3
0,0,50,2.0,1.0,46.0,1075.0,3
0,2,31,2.0,2.0,94.0,1425.0,3
1,0,90,2.0,1.0,40.0,1200.0,2
0,0,37,2.0,2.0,56.0,1280.0,3
0,0,494,2.0,2.0,50.0,1084.0,2
0,2,16,2.0,2.0,25.88,1015.0,2
0,2,3,2.0,1.0,51.25,1017.0,2
0,0,13,2.0,2.0,44.0,1027.0,2
0,0,14,2.0,2.0,45.0,1069.0,2
0,0,7,2.0,1.0,98.2,1349.0,2
0,0,63,2.0,1.0,50.0,1005.0,2
0,0,34,2.0,3.0,75.0,1417.0,2
2,2,41,3.0,1.0,98.0,1475.0,3
3,0,318,2.0,2.0,47.0,950.0,2
0,0,336,4.0,0.0,120.0,2000.0,4
2,0,188,3.0,1.0,140.0,880.0,3
0,0,1,3.0,2.0,104.0,1863.0,4
0,0,110,2.0,1.0,29.5,1010.0,2
0,0,90,2.0,1.0,70.0,1425.0,3
0,0,72,3.0,0.0,100.0,1450.0,3
0,0,35,3.0,2.0,105.0,1847.0,3
0,0,219,2.0,3.0,45.0,1100.0,2
0,2,3,1.0,1.0,26.0,525.0,1
0,0,177,3.0,2.0,95.0,1665.0,3
0,0,171,4.0,3.0,65.0,1664.0,4
0,0,36,3.0,3.0,150.0,1850.0,3
0,0,49,2.0,3.0,100.0,1438.0,2
0,0,803,3.0,3.0,115.0,1560.0,3
0,2,5,2.0,1.0,55.55,1350.0,2
0,0,3,3.0,3.0,67.0,1550.0,3
0,2,161,2.0,2.0,46.5,1140.0,2
2,0,354,5.0,2.0,180.0,1200.0,5
0,2,455,2.0,2.0,27.0,850.0,2
0,0,0,2.0,2.0,75.0,1280.0,2
1,0,122,2.0,2.0,52.0,1170.0,2
0,0,356,2.0,1.0,51.0,1113.0,2
0,0,11,2.0,1.0,83.09,1385.0,2
0,2,2,2.0,1.0,65.0,1128.0,2
2,0,8,2.0,2.0,128.0,1200.0,2
2,0,278,4.0,3.0,165.0,1200.0,4
0,0,15,3.0,2.0,415.0,2390.0,3
2,0,188,4.0,1.0,400.0,2400.0,4
0,0,13,3.0,2.0,56.0,1464.0,3
0,0,282,2.0,2.0,55.0,1200.0,2
0,0,133,2.0,2.0,52.0,1200.0,2
0,0,152,2.0,1.0,55.0,1150.0,3
1,0,480,3.0,2.0,95.0,1645.0,3
0,2,1,2.0,1.0,67.0,1000.0,2
2,0,13,4.0,2.0,198.0,2650.0,4
0,0,130,2.0,2.0,74.0,1192.0,2
0,0,140,3.0,2.0,215.0,2135.0,3
0,2,0,2.0,1.0,58.0,1173.0,2
1,0,6,2.0,2.0,45.0,1020.0,2
0,0,40,6.0,2.0,230.0,3122.0,4
0,0,104,3.0,3.0,64.0,1600.0,3
2,2,646,2.0,0.0,79.0,1200.0,2
3,0,716,2.0,3.0,48.0,1230.0,2
0,0,193,2.0,2.0,40.0,1250.0,2
0,0,90,2.0,2.0,76.0,1325.0,2
1,0,12,3.0,1.0,150.0,1850.0,3
0,0,141,2.0,2.0,65.0,1200.0,2
2,0,1105,2.0,0.0,140.0,1350.0,3
0,2,82,3.0,1.0,49.36,1260.0,3
0,0,526,3.0,0.0,150.0,1800.0,3
2,2,766,3.0,2.0,74.0,11.0,3
1,0,128,2.0,1.0,43.25,1100.0,2
0,0,24,2.0,1.0,77.0,1508.0,2
3,0,675,3.0,2.0,75.0,1592.0,3
0,0,39,2.0,3.0,57.0,1388.0,2
0,2,14,1.0,1.0,28.35,630.0,1
2,0,550,3.0,2.0,365.0,2000.0,3
0,0,1062,3.0,1.0,125.0,1762.0,3
0,2,466,2.0,2.0,50.0,950.0,2
0,0,179,5.0,3.0,335.0,3252.0,4
0,2,118,2.0,1.0,50.0,1116.0,2
0,0,236,2.0,2.0,89.04,1308.0,2
0,0,274,3.0,0.0,90.0,1200.0,3
2,0,962,4.0,2.0,230.0,1500.0,4
1,0,10,1.0,1.0,18.5,500.0,1
0,0,47,2.0,1.0,52.0,1075.0,2
0,2,16,1.0,0.0,11.66,530.0,1
1,0,17,2.0,3.0,66.0,1205.0,2
0,0,78,2.0,2.0,60.0,1075.0,2
1,0,19,2.0,2.0,39.0,930.0,2
0,0,61,2.0,1.0,60.0,1380.0,2
0,0,7,5.0,2.0,212.0,2483.0,4
1,0,207,2.0,2.0,55.0,1166.0,2
0,0,10,2.0,1.0,65.0,1050.0,2
0,2,370,3.0,2.0,275.0,2023.71,3
0,0,22,2.0,2.0,46.8,1200.0,2
0,0,85,2.0,1.0,108.0,1600.0,3
0,0,155,3.0,2.0,110.0,1935.0,3
0,2,43,1.0,0.0,29.9,451.0,1
0,0,2,3.0,2.0,95.0,1800.0,3
0,2,48,3.0,0.0,77.0,1400.0,3
0,0,54,3.0,2.0,115.0,1801.0,3
1,0,95,2.0,1.5843757375501535,90.0,1451.0,2
2,2,87,1.0,1.0,36.0,1200.0,2
0,0,22,2.0,2.0,44.0,1160.0,2
1,0,28,2.0,1.0,25.0,1000.0,2
0,0,3,2.0,1.0,40.0,950.0,2
1,2,317,3.0,2.0,79.0,1629.0,3
1,0,72,2.0,0.0,134.0,1580.0,3
0,2,72,3.0,2.0,121.0,1826.0,3
1,0,12,2.0,1.0,94.0,1245.0,2
0,0,9,2.0,2.0,45.79,1145.0,2
0,0,226,2.0,1.0,33.0,825.0,2
0,2,21,3.0,3.0,108.0,1693.0,3
0,0,20,2.0,2.0,53.0,1113.27,2
1,0,350,2.0,1.0,58.0,1460.0,2
1,0,96,2.0,1.0,32.0,1050.0,2
1,0,100,2.0,2.0,55.0,1260.0,2
0,0,1266,3.0,1.5843757375501535,120.0,700.0,6
1,0,60,2.0,1.0,120.0,1656.0,2
0,0,16,3.0,1.0,45.0,1208.0,3
0,0,0,3.0,2.0,161.0,1910.0,3
0,0,0,4.0,1.0,230.0,3252.0,4
2,0,124,2.0,1.0,65.0,1200.0,2
0,0,641,4.0,1.0,175.0,1200.0,4
0,0,12,2.0,1.0,82.0,1175.0,2
2,0,270,2.0,0.0,165.0,1000.0,2
2,0,10,2.0,0.0,125.0,1200.0,4
0,0,15,3.0,2.0,410.0,2390.0,3
0,2,15,6.0,3.0,2200.0,12000.0,7
2,0,194,1.0,1.0,62.0,550.0,2
0,0,527,2.0,1.5843757375501535,38.0,1185.0,2
0,0,28,2.0,1.0,38.0,750.0,2
2,0,195,7.0,3.0,250.0,1200.0,6
0,0,3,3.0,3.0,64.5,1550.0,3
1,0,1070,3.0,2.0,88.0,1760.0,3
0,0,155,2.0,2.0,62.0,1125.0,2
2,0,38,3.0,2.0,150.0,1350.0,3
2,2,108,2.0,1.0,55.0,1000.0,2
1,2,112,2.0,2.0,31.48,1090.0,2
2,0,41,2.0,0.0,60.0,1200.0,2
0,0,45,4.0,2.0,103.0,1991.0,3
0,2,82,2.0,1.0,26.5,1060.0,2
0,0,107,2.0,1.0,75.0,1105.0,2
1,0,18,2.0,2.0,67.0,985.0,2
2,0,16,5.0,3.0,85.0,1533.0,6
0,2,61,3.0,2.0,79.0,1590.0,3
0,0,65,2.0,2.0,55.0,1120.0,2
0,0,368,2.0,1.0,55.0,1069.0,2
0,0,8,3.0,2.0,140.0,1933.0,3
1,2,60,2.0,0.0,69.0,1194.0,2
0,0,59,2.0,3.0,69.0,1150.0,2
0,0,201,2.0,2.0,47.12,1240.0,2
0,0,9,2.0,2.0,48.1,1419.0,2
2,0,12,8.0,1.5843757375501535,250.0,1200.0,8
0,0,257,4.0,1.5843757375501535,240.0,2150.0,3
0,0,473,3.0,2.0,55.0,1450.0,3
0,2,448,3.0,2.0,68.29,1630.0,3
0,0,165,1.0,1.0,40.0,708.0,2
2,0,25,4.0,3.0,110.0,1000.0,3
2,0,0,4.0,3.0,700.0,11890.0,4
0,0,17,2.0,1.0,76.0,1250.0,2
0,0,12,2.0,1.0,95.0,1400.0,3
0,0,1,2.0,3.0,57.0,1670.0,3
0,0,128,3.0,2.0,100.0,1750.0,3
0,0,64,2.0,1.0,71.0,1404.0,2
0,0,18,2.0,2.0,95.0,1715.0,3
1,2,2,1.0,1.0,34.65,630.0,1
0,0,24,3.0,2.0,135.0,1752.12,3
0,0,51,3.0,2.0,78.0,1650.0,3
0,0,9,2.0,1.0,55.47,1295.0,2
2,0,188,3.0,2.0,252.0,1800.0,3
0,2,1,2.0,1.0,74.03,1346.0,2
2,0,539,4.0,2.0,200.0,1200.0,4
0,0,27,2.0,2.0,55.0,1150.0,2
1,0,854,4.0,3.0,325.0,3309.0,4
0,2,16,2.0,2.0,30.35,1190.0,3
0,0,219,3.0,2.0,98.0,1620.0,3
0,2,8,2.0,1.0,46.96,950.0,2
0,0,1076,9.0,3.0,360.0,5000.0,11
0,0,24,3.0,0.0,120.0,2450.0,3
0,2,14,2.0,1.0,35.23,1220.0,3
0,0,305,2.0,1.0,30.0,850.0,2
1,0,106,2.0,2.0,63.0,1020.0,2
1,0,98,2.0,2.0,50.0,1100.0,2
0,0,333,2.0,2.0,126.0,1150.0,2
0,2,7,2.0,2.0,130.0,1760.0,3
0,0,107,3.0,3.0,110.0,1800.0,3
0,0,39,2.0,1.0,54.0,1070.0,2
2,0,123,4.0,2.0,220.0,1500.0,4
2,0,67,2.0,0.0,95.0,1440.0,2
0,0,127,2.0,1.0,40.0,900.0,2
1,0,976,4.0,1.0,230.0,1200.0,4
0,2,0,2.0,1.0,42.16,1130.0,2
0,0,30,2.0,1.0,165.0,1320.0,2
0,2,239,2.0,1.0,98.0,1270.0,2
1,0,725,2.0,1.0,62.0,1200.0,2
0,0,848,4.0,1.5843757375501535,235.0,4800.0,4
0,0,505,2.0,1.0,74.0,1200.0,2
0,0,66,2.0,0.0,50.17,929.0,2
1,0,336,4.0,2.0,260.0,1150.0,4
2,0,93,4.0,3.0,180.0,1125.0,4
2,0,167,3.0,2.0,65.0,500.0,5
2,0,324,5.0,2.0,190.0,1200.0,5
0,0,260,3.0,2.0,56.0,1464.0,3
0,0,12,4.0,3.0,400.0,3600.0,4
2,0,1211,4.0,2.0,99.0,2000.0,4
0,0,98,2.0,1.0,49.0,1208.0,2
0,0,88,2.0,2.0,60.0,1130.0,2
0,0,634,3.0,2.0,120.0,1753.0,3
0,0,31,7.0,3.0,337.0,4500.0,5
2,0,235,3.0,2.0,58.0,600.0,3
0,2,18,2.0,2.0,94.42,1196.0,2
1,0,78,3.0,3.0,52.5,1150.0,2
0,2,2,2.0,1.0,63.0,1128.0,2
0,0,658,2.0,1.0,53.0,1000.0,2
0,0,5,2.0,1.0,45.0,1035.0,2
1,0,170,2.0,1.0,32.0,950.0,2
0,0,50,2.0,1.0,36.0,1075.0,3
0,0,0,2.0,1.0,48.5,1040.0,2
2,2,361,2.0,1.0,45.0,720.0,2
0,0,131,3.0,1.0,95.0,1511.0,3
1,0,407,3.0,1.0,58.0,1300.0,3
0,2,18,3.0,1.0,68.75,1545.0,3
1,0,205,2.0,0.0,26.0,375.0,1
0,0,67,2.0,3.0,38.0,1062.0,2
0,0,386,2.0,1.0,40.0,1115.0,2
0,0,36,2.0,1.0,35.0,1000.0,2
0,2,126,2.0,1.0,45.0,883.0,2
0,2,1,2.0,1.0,70.0,1195.0,2
2,0,600,3.0,1.0,165.0,1200.0,4
1,0,272,1.0,0.0,41.0,700.0,1
0,0,64,2.0,1.0,67.0,1246.0,2
2,0,43,4.0,2.0,90.0,660.0,4
2,0,109,4.0,2.0,145.0,8500.0,4
0,0,586,4.0,1.0,80.0,1600.0,4
0,2,13,5.0,3.0,154.0,2805.0,4
0,0,22,3.0,1.5843757375501535,65.0,1584.0,3
2,0,208,5.0,1.0,275.0,3000.0,4
1,0,60,2.0,2.0,48.0,1175.0,3
1,2,1041,3.0,2.0,115.0,1595.0,3
0,0,556,2.0,2.0,110.0,1353.0,2
0,2,2,3.0,2.0,125.0,1599.0,3
0,0,0,2.0,1.0,70.0,1150.0,2
0,2,34,6.0,1.0,465.0,5230.0,4
0,0,19,2.0,2.0,42.74,1155.0,2
1,0,308,2.0,0.0,85.0,1200.0,1
0,2,14,2.0,1.0,25.0,1000.0,2
0,0,4,4.0,1.5843757375501535,120.0,3000.0,4
1,0,212,3.0,1.0,160.0,1867.0,3
0,2,53,2.0,1.0,47.0,1251.0,2
0,2,623,2.0,1.0,45.5,1028.0,2
0,0,169,2.0,2.0,45.0,1222.0,2
0,0,10,2.0,1.0,66.0,1170.0,3
0,0,7,4.0,1.0,245.0,2400.0,3
0,0,421,2.0,2.0,48.48,1385.0,3
0,0,46,2.0,1.0,68.0,1372.0,2
0,0,118,2.0,2.0,49.0,1282.0,3
0,0,225,9.0,3.0,210.0,5000.0,9
1,0,399,3.0,1.0,528.0,3000.0,5
0,0,3,2.0,1.0,39.73,1135.0,2
1,2,0,3.0,2.0,101.0,1768.0,3
1,0,330,2.0,1.0,90.0,1325.0,3
0,2,2,3.0,2.0,99.0,1599.0,3
2,2,0,3.0,1.0,61.95,1500.0,3
2,0,269,3.0,0.0,499.0,2610.0,3
0,0,6,2.0,2.0,63.0,1286.0,2
1,0,156,5.0,1.0,140.0,2845.0,5
0,0,822,2.0,1.5843757375501535,50.0,1600.0,3
0,2,11,2.0,0.0,63.77,1317.5,2
0,0,7,5.0,2.0,260.0,3450.0,3
0,2,122,2.0,2.0,53.67,1102.0,2
0,0,5,2.0,2.0,54.0,1350.0,2
0,0,26,2.0,2.0,42.0,1200.0,3
2,0,33,6.0,0.0,145.0,1300.0,6
2,0,471,1.0,1.0,80.0,1800.0,2
1,0,196,2.0,1.0,40.0,950.0,2
0,2,3,1.0,1.0,27.25,525.0,1
1,0,71,2.0,1.0,25.0,656.0,2
2,0,8,4.0,3.0,175.0,1780.0,4
